Prefix,Prefetcher_Type,Table_Size,Min_Thresh,Max_Thresh,AVG_IPC,L2_Pf_HR,L2_HR
035,IPMarkovDelta,256.0,4,32,0.68973,0.94927,0.90779
035,IPMarkovDelta,2048.0,64,128,0.54922,0.84655,0.82378
035,IPMarkovDelta,64.0,0,64,0.69567,0.93526,0.87784
041,DeltaMarkovDelta,,0,8,0.69614,0.89354,0.85536
041,DeltaMarkovDelta,64.0,0,8,0.6616,0.84146,0.78729
041,DeltaMarkovDelta,128.0,0,64,0.67489,0.89128,0.82402
035,IPMarkovDelta,2048.0,4,128,0.66537,0.8582,0.8483
041,DeltaMarkovDelta,16.0,4,8,0.65217,0.79405,0.76979
035,IPMarkovDelta,128.0,4,32,0.68594,0.95297,0.89981
035,IPMarkovDelta,2048.0,8,16,0.70798,0.90726,0.89106
035,IPMarkovDelta,256.0,0,4,0.72331,0.93769,0.90283
045,IPDeltaMarkovDelta,,0,512,0.67054,0.86101,0.82149
035,IPMarkovDelta,2048.0,0,16,0.76595,0.91959,0.91197
035,IPMarkovDelta,32.0,64,128,0.61207,0.88738,0.82213
041,DeltaMarkovDelta,,0,32,0.69514,0.9107,0.86789
043,IPDeltaMarkovDelta,,512,2048,0.60251,0.76841,0.7532
041,DeltaMarkovDelta,32.0,8,16,0.66686,0.8529,0.80168
045,IPDeltaMarkovDelta,,0,4,0.66551,0.88828,0.8085
035,IPMarkovDelta,16.0,0,32,0.66244,0.91094,0.81834
035,IPMarkovDelta,32.0,4,32,0.67857,0.93459,0.85619
035,IPMarkovDelta,256.0,0,32,0.7105,0.94817,0.91343
041,DeltaMarkovDelta,128.0,8,32,0.674,0.89619,0.83393
043,IPDeltaMarkovDelta,,128,2048,0.60929,0.73828,0.74196
035,IPMarkovDelta,64.0,32,64,0.60132,0.92818,0.85215
041,DeltaMarkovDelta,256.0,4,8,0.67347,0.87677,0.81531
041,DeltaMarkovDelta,64.0,0,4,0.65465,0.82928,0.78184
041,DeltaMarkovDelta,16.0,4,16,0.65544,0.81622,0.77454
035,IPMarkovDelta,64.0,0,4,0.70103,0.92841,0.86837
041,DeltaMarkovDelta,,8,16,0.67924,0.90863,0.86456
035,IPMarkovDelta,128.0,8,16,0.68291,0.95055,0.89223
041,DeltaMarkovDelta,,0,4,0.67865,0.85886,0.82751
041,DeltaMarkovDelta,16.0,0,32,0.63847,0.82523,0.76964
045,IPDeltaMarkovDelta,,512,1024,0.60251,0.76841,0.7532
041,DeltaMarkovDelta,256.0,8,16,0.67688,0.90535,0.85067
041,DeltaMarkovDelta,128.0,4,32,0.67736,0.89795,0.83297
041,DeltaMarkovDelta,256.0,32,64,0.65407,0.89532,0.83247
041,DeltaMarkovDelta,64.0,0,16,0.66318,0.85453,0.79367
041,DeltaMarkovDelta,,8,64,0.67753,0.90696,0.86216
041,DeltaMarkovDelta,16.0,4,64,0.65237,0.82936,0.77788
045,IPDeltaMarkovDelta,,0,8,0.68094,0.90152,0.82549
041,DeltaMarkovDelta,,16,2147483647,0.52344,0.68346,0.70306
041,DeltaMarkovDelta,,16,32,0.66926,0.90312,0.85265
041,DeltaMarkovDelta,,32,64,0.65358,0.89841,0.84744
041,DeltaMarkovDelta,32.0,32,64,0.64222,0.85436,0.79088
035,IPMarkovDelta,128.0,4,128,0.68404,0.93248,0.88633
043,IPDeltaMarkovDelta,,0,2048,0.66115,0.82458,0.79956
035,IPMarkovDelta,64.0,4,32,0.68363,0.94837,0.8825
041,DeltaMarkovDelta,64.0,8,128,0.66715,0.87403,0.82007
035,IPMarkovDelta,256.0,0,64,0.70971,0.94066,0.90754
035,IPMarkovDelta,16.0,0,4,0.66274,0.89998,0.81146
043,IPDeltaMarkovDelta,,64,2048,0.61794,0.7519,0.75056
041,DeltaMarkovDelta,128.0,4,128,0.6767,0.88946,0.83311
041,DeltaMarkovDelta,32.0,0,32,0.65105,0.84354,0.7812
041,DeltaMarkovDelta,32.0,4,64,0.66933,0.8605,0.79871
035,IPMarkovDelta,16.0,8,32,0.62942,0.91796,0.82099
035,IPMarkovDelta,16.0,32,128,0.59364,0.87288,0.7961
041,DeltaMarkovDelta,32.0,0,128,0.64993,0.84211,0.78267
043,IPDeltaMarkovDelta,,512,1024,0.60251,0.76841,0.7532
035,IPMarkovDelta,64.0,4,8,0.68857,0.93826,0.87163
041,DeltaMarkovDelta,128.0,0,4,0.66058,0.83877,0.79137
035,IPMarkovDelta,16.0,32,64,0.58717,0.90128,0.80101
041,DeltaMarkovDelta,,8,1024,0.60582,0.78781,0.78711
035,IPMarkovDelta,16.0,4,16,0.66271,0.90143,0.81838
035,IPMarkovDelta,128.0,4,64,0.68783,0.94188,0.89215
035,IPMarkovDelta,16.0,64,128,0.5982,0.84325,0.78861
035,IPMarkovDelta,128.0,0,32,0.70766,0.94712,0.90337
043,IPDeltaMarkovDelta,,1024,2147483647,0.57899,0.67566,0.68446
041,DeltaMarkovDelta,128.0,0,8,0.66979,0.85704,0.80118
041,DeltaMarkovDelta,,16,128,0.65056,0.89603,0.85081
035,IPMarkovDelta,128.0,8,64,0.67026,0.93651,0.88356
041,DeltaMarkovDelta,64.0,4,32,0.67404,0.87847,0.81476
041,DeltaMarkovDelta,128.0,32,64,0.65542,0.89085,0.82593
035,IPMarkovDelta,16.0,4,8,0.66839,0.89515,0.81856
041,DeltaMarkovDelta,32.0,8,32,0.66583,0.84898,0.7969
041,DeltaMarkovDelta,64.0,64,128,0.6454,0.86956,0.81611
041,DeltaMarkovDelta,256.0,0,16,0.68064,0.88952,0.83058
035,IPMarkovDelta,32.0,4,64,0.67467,0.92337,0.84904
041,DeltaMarkovDelta,256.0,0,32,0.67986,0.89775,0.83519
041,DeltaMarkovDelta,16.0,4,32,0.65467,0.81936,0.77527
041,DeltaMarkovDelta,128.0,4,64,0.68037,0.8999,0.83748
043,IPDeltaMarkovDelta,,64,512,0.62316,0.81681,0.79224
035,IPMarkovDelta,256.0,8,16,0.69008,0.94716,0.90331
043,IPDeltaMarkovDelta,,32,2048,0.62126,0.76436,0.7576
043,IPDeltaMarkovDelta,,2048,2147483647,0.4722,0.44639,0.55129
041,DeltaMarkovDelta,,64,2147483647,0.50898,0.65512,0.68227
041,DeltaMarkovDelta,128.0,8,64,0.67681,0.89526,0.83703
035,IPMarkovDelta,2048.0,8,128,0.62899,0.85177,0.83613
041,DeltaMarkovDelta,,8,32,0.67614,0.91279,0.86346
035,IPMarkovDelta,32.0,8,16,0.67009,0.9253,0.84363
035,IPMarkovDelta,128.0,4,8,0.69449,0.9449,0.89124
043,IPDeltaMarkovDelta,,512,2147483647,0.52737,0.55849,0.61969
035,IPMarkovDelta,2048.0,8,32,0.68277,0.88243,0.86867
035,IPMarkovDelta,64.0,8,64,0.65294,0.93223,0.86461
041,DeltaMarkovDelta,,8,2147483647,0.5398,0.69729,0.7146
041,DeltaMarkovDelta,64.0,0,32,0.66316,0.86275,0.79713
043,IPDeltaMarkovDelta,,128,512,0.61199,0.81017,0.78795
035,IPMarkovDelta,16.0,4,128,0.63935,0.88712,0.81111
043,IPDeltaMarkovDelta,,128,2147483647,0.56112,0.62507,0.66591
041,DeltaMarkovDelta,256.0,0,128,0.6818,0.89827,0.84194
041,DeltaMarkovDelta,256.0,64,128,0.64692,0.89543,0.8435
041,DeltaMarkovDelta,32.0,4,16,0.66805,0.84552,0.79129
035,IPMarkovDelta,256.0,8,64,0.67699,0.93324,0.89154
035,IPMarkovDelta,128.0,32,64,0.61949,0.92881,0.87041
041,DeltaMarkovDelta,64.0,32,128,0.65001,0.86949,0.81191
041,DeltaMarkovDelta,32.0,0,8,0.64992,0.82534,0.77568
041,DeltaMarkovDelta,16.0,0,64,0.63812,0.81594,0.7698
045,IPDeltaMarkovDelta,,0,32,0.67844,0.91835,0.83409
041,DeltaMarkovDelta,,16,64,0.65736,0.90471,0.85504
041,DeltaMarkovDelta,32.0,32,128,0.63906,0.83646,0.7864
045,IPDeltaMarkovDelta,,0,64,0.67854,0.92143,0.83668
041,DeltaMarkovDelta,256.0,4,64,0.68249,0.90658,0.84685
035,IPMarkovDelta,2048.0,8,64,0.66599,0.86126,0.8489
035,IPMarkovDelta,128.0,0,4,0.70935,0.93925,0.89047
041,DeltaMarkovDelta,256.0,0,4,0.66483,0.84634,0.80105
041,DeltaMarkovDelta,16.0,32,128,0.61945,0.79659,0.76476
041,DeltaMarkovDelta,,128,2147483647,0.49004,0.60378,0.64348
035,IPMarkovDelta,64.0,0,8,0.70599,0.92874,0.87469
035,IPMarkovDelta,32.0,4,8,0.68349,0.92226,0.84711
035,IPMarkovDelta,256.0,4,16,0.70289,0.95065,0.91122
041,DeltaMarkovDelta,,0,16,0.70064,0.90531,0.86621
035,IPMarkovDelta,128.0,8,32,0.6737,0.9486,0.89105
041,DeltaMarkovDelta,32.0,4,128,0.66529,0.84774,0.79481
041,DeltaMarkovDelta,32.0,64,128,0.63578,0.82717,0.78522
041,DeltaMarkovDelta,16.0,64,128,0.61876,0.77441,0.7611
041,DeltaMarkovDelta,128.0,0,128,0.67514,0.88846,0.82526
041,DeltaMarkovDelta,256.0,0,64,0.68242,0.90374,0.84222
035,IPMarkovDelta,32.0,8,64,0.63029,0.92813,0.84246
043,IPDeltaMarkovDelta,,128,1024,0.61291,0.77112,0.76464
035,IPMarkovDelta,64.0,0,16,0.70218,0.93428,0.87741
043,IPDeltaMarkovDelta,,32,64,0.61778,0.91347,0.82828
035,IPMarkovDelta,2048.0,0,64,0.72093,0.87919,0.87311
035,IPMarkovDelta,2048.0,4,16,0.74535,0.91175,0.9028
041,DeltaMarkovDelta,,32,128,0.64943,0.8941,0.84887
041,DeltaMarkovDelta,128.0,0,16,0.6725,0.87396,0.81198
035,IPMarkovDelta,2048.0,0,32,0.73432,0.89927,0.89169
035,IPMarkovDelta,32.0,0,4,0.68427,0.9131,0.83924
041,DeltaMarkovDelta,64.0,8,32,0.67151,0.88003,0.82023
035,IPMarkovDelta,64.0,4,16,0.6875,0.94466,0.87769
035,IPMarkovDelta,16.0,8,64,0.61126,0.90837,0.81239
035,IPMarkovDelta,128.0,0,16,0.71412,0.94481,0.90179
043,IPDeltaMarkovDelta,,1024,2048,0.52737,0.55849,0.61969
041,DeltaMarkovDelta,32.0,0,16,0.65106,0.83591,0.77872
041,DeltaMarkovDelta,,8,128,0.67507,0.89834,0.85683
035,IPMarkovDelta,32.0,4,16,0.68136,0.92819,0.85003
043,IPDeltaMarkovDelta,,32,512,0.62426,0.82774,0.79697
041,DeltaMarkovDelta,128.0,4,8,0.67302,0.86762,0.80531
041,DeltaMarkovDelta,16.0,0,8,0.63475,0.81267,0.76646
035,IPMarkovDelta,128.0,8,128,0.66211,0.92703,0.87786
045,IPDeltaMarkovDelta,,0,16,0.67964,0.9142,0.83277
035,IPMarkovDelta,32.0,32,64,0.59287,0.92248,0.82954
035,IPMarkovDelta,256.0,4,64,0.69002,0.93898,0.89965
041,DeltaMarkovDelta,256.0,8,32,0.67605,0.90466,0.84355
041,DeltaMarkovDelta,16.0,8,16,0.65677,0.82153,0.7815
043,IPDeltaMarkovDelta,,0,1024,0.66639,0.8451,0.81266
045,IPDeltaMarkovDelta,,0,256,0.67843,0.88849,0.83571
041,DeltaMarkovDelta,,0,2147483647,0.56619,0.7333,0.74169
043,IPDeltaMarkovDelta,,64,2147483647,0.57287,0.64859,0.67988
041,DeltaMarkovDelta,16.0,4,128,0.64744,0.81469,0.77406
041,DeltaMarkovDelta,,16,1024,0.58936,0.77415,0.77561
041,DeltaMarkovDelta,16.0,8,64,0.64407,0.82802,0.77842
035,IPMarkovDelta,64.0,32,128,0.61861,0.91473,0.85028
035,IPMarkovDelta,2048.0,0,4,0.77747,0.91235,0.90657
035,IPMarkovDelta,16.0,0,8,0.66415,0.89916,0.81353
035,IPMarkovDelta,32.0,0,64,0.67766,0.9255,0.84798
035,IPMarkovDelta,128.0,0,128,0.70181,0.93448,0.89435
041,DeltaMarkovDelta,16.0,0,4,0.65465,0.82928,0.78184
041,DeltaMarkovDelta,32.0,8,64,0.66405,0.85952,0.80156
035,IPMarkovDelta,32.0,8,32,0.65339,0.93716,0.85088
035,IPMarkovDelta,16.0,0,64,0.66219,0.90703,0.81643
041,DeltaMarkovDelta,256.0,8,128,0.67499,0.89094,0.84102
041,DeltaMarkovDelta,128.0,8,16,0.67457,0.89467,0.83824
041,DeltaMarkovDelta,16.0,8,32,0.6529,0.81264,0.7758
035,IPMarkovDelta,64.0,0,128,0.69027,0.93026,0.87536
045,IPDeltaMarkovDelta,,256,512,0.59746,0.80217,0.78219
041,DeltaMarkovDelta,256.0,8,64,0.6794,0.90172,0.84557
041,DeltaMarkovDelta,128.0,0,32,0.67225,0.8819,0.81597
041,DeltaMarkovDelta,64.0,4,64,0.67719,0.88698,0.82253
041,DeltaMarkovDelta,16.0,0,128,0.64125,0.78944,0.76476
041,DeltaMarkovDelta,64.0,4,128,0.67395,0.87703,0.8197
035,IPMarkovDelta,128.0,0,64,0.70703,0.94055,0.8985
035,IPMarkovDelta,256.0,8,128,0.66888,0.92491,0.88446
035,IPMarkovDelta,32.0,0,8,0.68585,0.91269,0.84255
035,IPMarkovDelta,64.0,4,64,0.68425,0.93669,0.87441
045,IPDeltaMarkovDelta,,0,8,0.68094,0.90152,0.82549
045,IPDeltaMarkovDelta,,128,2048,0.60929,0.73828,0.74196
041,DeltaMarkovDelta,64.0,4,8,0.67094,0.85311,0.79464
045,IPDeltaMarkovDelta,,512,2048,0.59655,0.70712,0.7131
041,DeltaMarkovDelta,256.0,4,16,0.67964,0.90286,0.84035
035,IPMarkovDelta,256.0,4,8,0.70667,0.94158,0.90294
041,DeltaMarkovDelta,,0,128,0.69455,0.90469,0.86722
041,DeltaMarkovDelta,128.0,8,128,0.67096,0.88321,0.83078
041,DeltaMarkovDelta,32.0,0,64,0.65202,0.85525,0.78626
035,IPMarkovDelta,2048.0,4,8,0.7523,0.90629,0.89869
035,IPMarkovDelta,128.0,4,16,0.69266,0.95194,0.89848
035,IPMarkovDelta,64.0,8,32,0.66818,0.945,0.87316
045,IPDeltaMarkovDelta,,0,4,0.6671,0.88692,0.80928
041,DeltaMarkovDelta,32.0,4,32,0.66826,0.85059,0.79367
035,IPMarkovDelta,128.0,0,8,0.71504,0.94244,0.89937
035,IPMarkovDelta,32.0,0,128,0.67457,0.92114,0.84662
035,IPMarkovDelta,256.0,8,32,0.67725,0.94331,0.89916
045,IPDeltaMarkovDelta,,0,1024,0.66639,0.8451,0.81266
035,IPMarkovDelta,32.0,0,16,0.68173,0.92204,0.84555
045,IPDeltaMarkovDelta,,64,128,0.64041,0.88851,0.83076
035,IPMarkovDelta,16.0,4,64,0.64949,0.89793,0.81534
043,IPDeltaMarkovDelta,,0,32,0.68025,0.91812,0.83794
035,IPMarkovDelta,16.0,8,128,0.60495,0.88541,0.80485
035,IPMarkovDelta,32.0,4,128,0.66457,0.91287,0.84422
041,DeltaMarkovDelta,,0,64,0.69633,0.91057,0.86995
035,IPMarkovDelta,32.0,8,128,0.62282,0.91249,0.83682
043,IPDeltaMarkovDelta,,0,64,0.68254,0.91834,0.84402
041,DeltaMarkovDelta,32.0,4,8,0.66524,0.82885,0.7824
035,IPMarkovDelta,16.0,0,128,0.66112,0.89939,0.8146
035,IPMarkovDelta,256.0,64,128,0.63624,0.92111,0.87856
035,IPMarkovDelta,2048.0,4,64,0.69916,0.86705,0.86017
035,IPMarkovDelta,256.0,32,128,0.63893,0.91879,0.87624
041,DeltaMarkovDelta,16.0,8,128,0.63462,0.80636,0.77193
035,IPMarkovDelta,16.0,4,32,0.65922,0.90756,0.82168
041,DeltaMarkovDelta,256.0,4,32,0.67992,0.90666,0.84396
035,IPMarkovDelta,2048.0,4,32,0.71527,0.88804,0.88015
043,IPDeltaMarkovDelta,,0,2147483647,0.63268,0.74157,0.7432
045,IPDeltaMarkovDelta,,128,256,0.61983,0.86377,0.81769
041,DeltaMarkovDelta,,128,1024,0.56332,0.74081,0.74864
041,DeltaMarkovDelta,64.0,8,64,0.67255,0.88756,0.82589
041,DeltaMarkovDelta,32.0,8,128,0.65637,0.84311,0.79497
035,IPMarkovDelta,2048.0,32,128,0.58356,0.8449,0.82427
035,IPMarkovDelta,2048.0,0,8,0.77319,0.91831,0.91196
041,DeltaMarkovDelta,256.0,0,8,0.6765,0.87064,0.81639
041,DeltaMarkovDelta,64.0,0,64,0.66505,0.87431,0.80427
041,DeltaMarkovDelta,,0,1024,0.63241,0.82112,0.81075
035,IPMarkovDelta,2048.0,0,128,0.69253,0.86786,0.86084
041,DeltaMarkovDelta,32.0,0,4,0.64547,0.8187,0.77315
035,IPMarkovDelta,256.0,4,128,0.68476,0.93048,0.89291
035,IPMarkovDelta,256.0,0,16,0.7219,0.94909,0.9161
035,IPMarkovDelta,16.0,8,16,0.6461,0.89571,0.81216
041,DeltaMarkovDelta,16.0,32,64,0.62176,0.82892,0.77083
035,IPMarkovDelta,64.0,0,32,0.69795,0.93983,0.88186
041,DeltaMarkovDelta,16.0,0,16,0.63591,0.8212,0.76781
041,DeltaMarkovDelta,256.0,4,128,0.6801,0.89648,0.84305
041,DeltaMarkovDelta,,1024,2147483647,0.39805,0.46752,0.53058
035,IPMarkovDelta,16.0,0,16,0.66315,0.90483,0.81546
035,IPMarkovDelta,128.0,32,128,0.63192,0.92115,0.86939
035,IPMarkovDelta,2048.0,32,64,0.61398,0.85665,0.83673
035,IPMarkovDelta,64.0,8,16,0.67781,0.94352,0.87113
043,IPDeltaMarkovDelta,,32,2147483647,0.57806,0.66372,0.68904
035,IPMarkovDelta,64.0,8,128,0.64396,0.92173,0.8595
041,DeltaMarkovDelta,128.0,4,16,0.67657,0.8918,0.82755
035,IPMarkovDelta,256.0,0,128,0.70508,0.93287,0.9017
043,IPDeltaMarkovDelta,,32,1024,0.62432,0.79381,0.77756
041,DeltaMarkovDelta,64.0,8,16,0.6714,0.87743,0.82161
035,IPMarkovDelta,128.0,64,128,0.63568,0.92004,0.87071
041,DeltaMarkovDelta,,32,2147483647,0.52057,0.67656,0.69812
035,IPMarkovDelta,256.0,0,8,0.72457,0.94627,0.91377
041,DeltaMarkovDelta,64.0,4,16,0.67301,0.87204,0.81014
035,IPMarkovDelta,32.0,32,128,0.6049,0.90409,0.82724
035,IPMarkovDelta,64.0,64,128,0.62563,0.90915,0.85035
043,IPDeltaMarkovDelta,,64,128,0.64041,0.88851,0.83076
041,DeltaMarkovDelta,256.0,32,128,0.65309,0.88436,0.83067
035,IPMarkovDelta,256.0,32,64,0.64057,0.92147,0.87696
041,DeltaMarkovDelta,,64,1024,0.57757,0.75532,0.76207
041,DeltaMarkovDelta,64.0,0,128,0.6652,0.87214,0.80475
035,IPMarkovDelta,64.0,4,128,0.67883,0.92642,0.86898
045,IPDeltaMarkovDelta,,0,2048,0.66115,0.82458,0.79956
035,IPMarkovDelta,32.0,0,32,0.67968,0.9295,0.85125
043,IPDeltaMarkovDelta,,32,128,0.6398,0.88921,0.82628
045,IPDeltaMarkovDelta,,0,128,0.68238,0.90725,0.84313
041,DeltaMarkovDelta,128.0,32,128,0.65186,0.87913,0.82254
043,IPDeltaMarkovDelta,,0,512,0.67054,0.86101,0.82149
043,IPDeltaMarkovDelta,,0,128,0.68238,0.90725,0.84313
041,DeltaMarkovDelta,64.0,32,64,0.65424,0.88042,0.81462
041,DeltaMarkovDelta,128.0,64,128,0.64667,0.88652,0.83272
